prompt,command
create a select menu in bash,"select opt in ""Option 1"" ""Option 2"" ""Quit""; do echo $opt; break; done"
show git stash list,git stash list
"Replace each new line in ""INPUT.txt"" with "":""",paste -sd: INPUT.txt
"Greps DNS zone transfer info on domain localdomain.com from NS @dc1.localdomain.com, finds strings with any-cased word 'Lawler' and strips last letter from each string.","VAR=`dig axfr @dc1.localdomain.com localdomain.com | grep -i Lawler | awk '{ getline ; $1=substr($1,1,length($1)-1); print $1 ; exit }'`"
Replace spaces with underscores in all filenames in the current directory,"for f in *\ *; do mv ""$f"" ""${f// /_}""; done"
"Search for the string ""password"" in all files under ""/etc"" but ignore binary files","grep -R ""password"" /etc --binary-files=without-match"
Ping a host 'example.com',ping example.com
sync files to a remote server,rsync -avz -e ssh source/ user@host:/dest/
"Show the disk usage of each subdirectory in /var/www, sorted by size descending.",du -sh /var/www/* | sort -hr
Enables shell option 'failglob'.,shopt -s failglob
"Replace all occurrences of ""foo"" with ""bar"" in the file ""data.txt"" and edit the file in place.",sed -i 's/foo/bar/g' data.txt
"Generate a command that lists all Docker containers (running and stopped), extracts their names and creation dates, sorts them by creation date descending, and outputs in a pretty table.","docker ps -a --format '{{.Names}} {{.CreatedAt}}' | sort -k2,2M -k3,3r | column -t"
"Calculate the md5 sum of the tar archive of ""dir""",tar c dir | md5sum
Unsets random one from first four array members.,unset array[`shuf -i 0-3 -n1`]
Show the history of commands that contain 'git',history | grep git
"set alias ""vimrc"" for command ""$EDITOR ~/.vimrc""",alias vimrc='$EDITOR ~/.vimrc'
"Monitor /var/log/syslog in real time, filter for lines containing ""ERROR"" or ""CRITICAL"", prepend a timestamp, and write them to /var/log/critical_errors.log while also displaying on the console.","tail -F /var/log/syslog | grep -E ""ERROR|CRITICAL"" | while read line; do echo ""$(date +'%Y-%m-%d %H:%M:%S') $line"" | tee -a /var/log/critical_errors.log; done"
"Run the PHP script ""newEmptyPHP"" redirecting the output to ""nohup.out"" in the current directory, or in the home directory if that is not possible. The process will not receive or respond to SIGHUP (signal 1) which are sent to it.",nohup php newEmptyPHP.php &
Save number of lines in '/some/big/file' to 'LINES' variable,LINES=$(cat /some/big/file | wc -l)
Extract only the file config.yaml from the archive archive.tar.gz into the current directory.,tar -xzvf archive.tar.gz config.yaml
"Search recursively for the string ""TODO"" in all "".c"" files, showing line numbers.","grep -R ""TODO"" --include=""*.c"" -n ."
"Get the processor's addressing bus width from the output of ""lshw"", ie. ""64 bits"".","lshw -class cpu|grep ""^       width""|uniq|awk '{print $2}'"
"List all functions or variables containing "" ()"" defined in the shell","set | grep "" ()"""
"Display the HTTP status code of a GET request to ""https://example.com""","curl -o /dev/null -s -w ""%{http_code}\n"" https://example.com
200"
"Find and replace ""DEBUG"" with ""INFO"" in all .conf files recursively from the current directory","grep -rl ""DEBUG"" . --include=""*.conf"" | xargs sed -i 's/DEBUG/INFO/g'"
Print list of missing files in a Subversion repository.,svn status |  grep '\!' | cut -d\  -f2-
Set the system timezone to UTC,sudo timedatectl set-timezone UTC
prints top 10 commands used,"history | awk '{print $2}' | awk 'BEGIN {FS=""|""}{print $1}' | sort | uniq -c | sort -nr | head"
paste from clipboard,xclip -selection clipboard -o
Display the current disk usage of all mounted filesystems in human‑readable form.,df -h
"Save the FQDN host name of the system in variable ""fhost""",fhost=`hostname -f`
Find SUID binaries,find /usr/bin -perm -4000 -type f 2>/dev/null
Report file system inodes usage in human readable format,df -ih
List all currently running processes sorted by memory usage,ps aux --sort=-%mem
Run a command and redirect the error to a file,command 2> file.txt
activate a Python virtual environment,source venv/bin/activate
run a command with 30 second timeout for ./long_task,timeout 30 ./long_task
run npm tests,npm test
View the system's environment variables,printenv
"Send SIGTERM signal to any process which 'ps' lists as ""python csp_build.py""",kill `ps ax | grep 'python csp_build.py' | awk '{print $1}'`
"Extract all JSON objects from a mixed log file (each line may be plain text or JSON) and pretty‑print them using jq, saving the result to a file named ""json_records.pretty.json"".",grep -a '{' /var/log/mixed.log | grep -a '}' | jq -c . | jq . > json_records.pretty.json
schedule a task for every Monday at 9am,"echo ""0 9 * * 1 /path/to/script.sh"" | crontab -"
freeze pip requirements,pip freeze > requirements.txt
Create a directory named backup and its parent directories if needed,mkdir -p backup
"Prints date of first Tuesday in January, 2015","cal 01 2015 | sed -n '1,2b;/^.\{6\} \{0,1\}\([0-9]\{1,2\}\) .*/ {s//0\1/;s/.*\([0-9]\{2\}\)$/\1/p;q;}'"
find which process is using port 3000,lsof -i :3000
git push tags to remote,git push --tags
"Print the contents of the variable ""PATH"" with each entry on a new line.",echo $PATH | tr ':' '\n'
show Python package info,pip show package_name
"Monitor real‑time changes to the file ""/var/log/syslog""",tail -F /var/log/syslog
"Save Maven project version to variable ""version""",version=$(mvn org.apache.maven.plugins:maven-help-plugin:2.1.1:evaluate -Dexpression=project.version | egrep -v '^\[|Downloading:' | tr -d ' \n' | sed -E 's/\[.*\]//g')
Show the number of lines added and removed in the last commit.,git show --stat HEAD
Show the total size of all Docker images on the system.,"docker images --format ""{{.Size}}"" | paste -sd+ - | bc"
"Using jq, transform a JSON array of objects each with a ""date"" field in YYYY‑MM‑DD format into a new array sorted chronologically and only containing the ""id"" and ""date"" fields.","jq 'map({id, date}) | sort_by(.date)' data.json"
"Using Bash parameter expansion, remove the file extension from the variable ""filename=""report.pdf"""" and print the base name.","filename=""report.pdf""; echo ""${filename%.*}"""
"Read standard input until a null character is found and save the result in variable ""line""",read -r -d $'\0'
Search for a string 'example' in a file called 'test.txt',grep example test.txt
List the 10 largest files in /var,find /var -type f -exec du -h {} + | sort -rh | head -n 10
"Extract all .csv files from a tarball archive data.tar.gz, convert each to tab‑delimited format using awk, and place the results in /tmp/csv_converted preserving original filenames with .tsv extension.","mkdir -p /tmp/csv_converted; tar -xzf data.tar.gz --wildcards --no-anchored ""*.csv"" -O | while IFS= read -r -d '' file; do base=$(basename ""$file"" .csv); awk -F',' 'BEGIN{OFS=""\t""} {$1=$1; print}' ""$file"" > ""/tmp/csv_converted/${base}.tsv""; done"
Find all empty files in the current directory and its subdirectories.,find . -type f -empty
Print the list of network interfaces,ip link show
"List all currently running processes sorted by memory usage, showing only the top 5.",ps aux --sort=-%mem | head -n 6
Creates temporary folder and save path to that in a TMPDIR variable.,TMPDIR=$(mktemp -d)
"Generate a report of the top 3 users by total CPU time consumed over the last hour, using the `ps` command and `awk`, showing user and total CPU seconds.","ps -eo user,etimes --no-headers | awk -v limit=$(date -d '1 hour ago' +%s) '{if ($2<=limit) cpu[$1]+=$2} END{for (u in cpu) printf ""%s %d\n"", u, cpu[u]}' | sort -k2,2nr | head -3"
Print the calendar for the current month,cal
list all files in the current directory,ls
show all established SSH connections,ss -tnp | grep ssh
monitor network traffic continuously,sar -n DEV 1
Create a new file named 'example.txt',touch example.txt
Print the system kernel version,uname -r
unzip a file to a specific directory,unzip archive.zip -d /path/to/dir
port forward to a Kubernetes pod,kubectl port-forward pod_name 8080:80
sleep for 500 seconds,sleep 500
show the full path of a command,type -a YOUR_COMMAND
"Write a Bash one‑liner that prints the total number of lines across all .log files modified in the last 24 hours in /var/log, excluding empty lines.","find /var/log -type f -name ""*.log"" -mtime -1 -exec cat {} + | grep -v '^$' | wc -l"
Transfer a file named 'example.txt' from a remote server to a local machine using SCP,scp user@host:/remote/path/example.txt ./
"Display the contents of a compressed file ""data.gz"" without extracting it",zcat data.gz
create a new git branch called feature,git checkout -b feature
"Count how many times the word ""fail"" appears in the file ""system.log"" (case‑sensitive).","grep -o ""fail"" system.log | wc -l"
Remove a user named 'user' from a group named 'group',usermod -G group user
Unsets DUALCASE variable.,unset DUALCASE
Show the kernel version and build information.,uname -srv
"Add ""/opt/bin"" to the beginning of the PATH for the current session",export PATH=/opt/bin:$PATH
search for a pattern ignoring case,"grep -i ""pattern"" file.txt"
"Display a progress bar while copying a large file ""big.iso"" to ""/mnt/usb"" using pv.",pv big.iso > /mnt/usb/big.iso
add all files to git staging,git add .
"Create a function to backup a database, compress it, and upload to a cloud storage",backup_db() { mysqldump -u user -p pass db_name | gzip > backup.sql.gz; curl -X PUT --data-binary @backup.sql.gz https://example.com/upload; }
List the top 10 most frequently used commands from your bash history,"history | awk '{CMD[$2]++} END {for (a in CMD)print CMD[a] "" "" a}' | sort -rn | head -n 10"
"Create an empty file called ""notes.txt""",touch notes.txt
"Show the first 5 columns of the output of ""ps aux""","ps aux | awk '{print $1,$2,$3,$4,$5}'
USER       PID %CPU %MEM VSZ"
bring a network interface down,sudo ip link set eth0 down
undo the last commit keeping changes,git reset --soft HEAD~1
Show the last 20 lines of system.log,tail -n 20 /var/log/system.log
"Display the first 5 columns of a CSV file ""data.csv"" using cut","cut -d',' -f1-5 data.csv"
Kill all processes owned by a user 'user',pkill -u user
"Write a one‑liner that prints the total number of lines of code (excluding blank lines and comments) for each .py file in the current repo, sorted descending.","git ls-files '*.py' | xargs -d '\n' wc -l | awk 'NF{print $2,$1}' | while read file cnt; do lines=$(grep -vE '^\s*(#|$)' ""$file"" | wc -l); echo ""$lines $file""; done | sort -nr"
Display the current Git branch name in the repository.,git rev-parse --abbrev-ref HEAD
"Filters out strings beginning with '#' from all files in current folder, and prints file name before each line.",cd /var/cron/tabs && grep -vH ^# *
Append the current date to variable 'LBUFFER',"LBUFFER+=""$(date)"""
Print the current shell's path.,echo $SHELL
show the amount of data written to disk,iostat -d
"Write a command that monitors the number of open file descriptors for the process named ""postgres"" every 5 seconds, logs the count with timestamp to /var/log/postgres_fds.log, and alerts via syslog if the count exceeds 1024.","while :; do count=$(lsof -c postgres | wc -l); echo ""$(date +%F%T) $count"" >> /var/log/postgres_fds.log; if (( count>1024 )); then logger -p user.warn ""postgres open fds > 1024: $count""; fi; sleep 5; done &"
"Using find, locate all executable files larger than 100 MB, compute their SHA256 checksums, and generate a report in /tmp/large_bins_report.txt with columns: path,size,sha256.","find / -type f -executable -size +100M -print0 | while IFS= read -r -d '' file; do sz=$(du -b ""$file"" | cut -f1); sum=$(sha256sum ""$file"" | awk '{print $1}'); echo -e ""$file\t$sz\t$sum""; done > /tmp/large_bins_report.txt"
"Write a bash snippet that watches for new files added to /incoming, and whenever a new .zip file appears, unzip it into /processed/<basename> and delete the original zip.","inotifywait -m -e create --format ""%f"" /incoming | while read fname; do if [[ $fname == *.zip ]]; then base=${fname%.zip}; mkdir -p /processed/$base && unzip -qq ""/incoming/$fname"" -d ""/processed/$base"" && rm -f ""/incoming/$fname""; fi; done &"
"Creates temporary folder in TMPDIR (if defined) or in '/tmp/', and stores path to created folder in 'tmpdir' variable.",tmpdir=$(mktemp -d)
reassemble split files,cat chunk_* > largefile.bin
"Monitor /var/log/syslog in real time, extract lines containing 'kernel' or 'panic', count occurrences per hour, and write the rolling statistics to /tmp/kernel_alerts.log every 10 minutes.","while true; do awk '/kernel|panic/ {print $1"" ""$2"" ""$3}' /var/log/syslog | while read date time msg; do hour=$(date -d ""$date $time"" +%Y-%m-%d-%H); echo ""$hour"" >> /tmp/kernel_tmp.log; done; awk '{cnt[$1]++} END {for (h in cnt) print h, cnt[h]}' /tmp/kernel_tmp.log > /tmp/kernel_alerts.log; rm /tmp/kernel_tmp.log; sleep 600; done &"
clean untracked files,git clean -fd
check for package security updates,sudo apt list --upgradable 2>/dev/null | grep -i security
"Search for the word 'ERROR' in logs.txt, ignoring case","grep -i ""ERROR"" logs.txt"
"Create a function to parse an XML file, extract a specific attribute, and print its value using xmllint",parse_xml() { xmllint --xpath '//@attribute' $1; }; parse_xml data.xml
"For each line of the sorted output of both file1 and file2, print lines whose first field of file2 does not appear as first field of file1.",join -v1 <(sort file1) <(sort file2)
"Display the 'bash' manpage, going to the first occurence of \' sequence of characters.","man bash | less -Ip ""\\\'"""
"Print three lines of ""some line "" followed by a random number",seq -f 'some line %g' 500 | nl | sort -R | cut -f2- | head -3
List all installed snap packages,snap list
"Set the permission of ""script.sh"" to be executable by the owner only.",chmod 700 script.sh
Show the last 20 lines of a file named server.log,tail -n 20 server.log
List the top 5 directories by size under /var,du -h --max-depth=1 /var | sort -hr | head -n 5
"Create a new empty file named ""notes.txt"" if it does not already exist.",touch notes.txt
Display the contents of a gzipped file data.log.gz without extracting,zcat data.log.gz | less
Report only total size of file systems in 1T blocks.,df --total -BT | tail -n 1 | sed -E 's/total *([^ ]*).*/\1/'
"Run a ""rm"" process to recursively remove ""cache"", making it immune to all SIGHUP signals sent to it.",nohup rm -rf cache &
"Download a JSON payload from https://api.example.com/data, extract the array ""items"", and for each item output its ""id"" and ""name"" as a CSV line to /tmp/items.csv.","curl -s https://api.example.com/data | \ 
  jq -r '.items[] | [ .id, .name ] | @csv' > /tmp/items.csv"
parse XML data.xml from command line,xmllint --format data.xml
"Count how many lines, words, and bytes are in the file README.md.",wc README.md
create a here document and save to file output.txt,cat << 'EOF' > output.txt
set a kernel parameter,sudo sysctl -w parameter=value
Extract the archive backup.tar.bz2 into the current directory.,tar -xjvf backup.tar.bz2
"Find all symbolic links under /usr/local/bin that point to non‑existent targets and delete them, printing each deleted link to stdout",find /usr/local/bin -type l ! -exec test -e {} \; -print -delete
"Create a new user ""bob"" without a home directory and with the shell set to /bin/false",sudo useradd -M -s /bin/false bob
use GNU parallel to process files with 4 jobs and process.sh,"find . -name ""*.csv"" | parallel -j4 ./process.sh {}"
"Print the 10 most frequently occurring words in the file ""book.txt"" (ignore case and punctuation).",tr -c '[:alnum:]' '\n' < book.txt | tr '[:upper:]' '[:lower:]' | sort | uniq -c | sort -nr | head -n 10
Show the current IP addresses of all network interfaces,ip addr show | grep 'inet '
"Write a function that backs up a MySQL database, streams the dump through gzip, uploads it to an S3 bucket using awscli, and logs the operation.","backup_mysql(){
  db=$1; bucket=$2; ts=$(date +%Y%m%d%H%M%S)
  dumpfile=""${db}_$ts.sql.gz""
  mysqldump ""$db"" | gzip > ""/tmp/$dumpfile""
  aws s3 cp ""/tmp/$dumpfile"" ""s3://$bucket/"" && echo ""$(date): $db backup uploaded"" >> /var/log/mysql_backup.log
  rm -f ""/tmp/$dumpfile""
}"
Show the current time in the New York timezone,TZ='America/New_York' date
Create a temporary file and print its path,"tempfile=$(mktemp) && echo ""$tempfile"""
Show the size of each file in the current directory in human‑readable form,ls -lh
"Count the number of lines, words, and characters in ""report.txt""",wc report.txt
mount a remote filesystem via SSHFS,sshfs YOUR_REMOTE_PATH YOUR_LOCAL_MOUNT
"Save the system host name in variable ""HOSTNAME""","HOSTNAME=""`hostname`"""
update the locate database,sudo updatedb
Change the group of a file named 'file.txt' to a new group,chgrp newgroup file.txt
show the public IP address,curl ifconfig.me
"Generate a UUID and store it in a variable ""UUID""",UUID=$(cat /proc/sys/kernel/random/uuid) && echo $UUID
Show hidden files in the current directory,ls -a
validate a JSON file,jsonlint file.json
"Display the size of each subdirectory in the current directory, sorted by size",du -sh */ | sort -h
"Create a new user ""devuser"" without a home directory",sudo useradd -M devuser
docker copy a file from container container_id:/app/data.txt to ./data.txt,docker cp container_id:/app/data.txt ./data.txt
"Count how many times the word ""failure"" appears in ""system.log"" (case‑insensitive)","grep -oi ""failure"" system.log | wc -l"
show swap usage,swapon --show
Show the total size of each subdirectory in the current folder,"du -sh */
bin	1.2G
lib	2.5G
tmp	512M"
List all files without descending into subdirectories,find * -type f -print -o -type d -prune
Start a Docker container named webapp from image nginx:latest and map port 8080 to host,docker run -d --name webapp -p 8080:80 nginx:latest
view a GitHub pull request 123,gh pr view 123
"Saves exit statuses of piped commands in a system variable PIPESTATUS='([0]=""1"" [1]=""2"")",false | true
Saves 'ls' output to 'ls_results' file and time report to 'time_results' file.,(time ls) > ls_results 2> time_results
Move all files older than 30 days from logs/ to archive/,find logs/ -type f -mtime +30 -exec mv {} archive/ \;
Copy all files with '.png' (case insensitive) extension under '/home/mine' directory tree to '/home/mine/pngcoppies/copy.' directory,"find /home/mine -iname ""*.png"" -execdir cp {} /home/mine/pngcoppies/copy{} \;"
show DMA channel allocations,cat /proc/dma
"Print 2 lines of ""123456789""",yes 123456789 | head -2
"Using find, locate all files owned by user ""nobody"" that have not been accessed in the last 180 days, change their permissions to 640, and log the changes to /var/log/nobody_cleanup.log.","find / -user nobody -atime +180 -type f -print0 | while IFS= read -r -d '' f; do chmod 640 ""$f"" && echo ""$(date +'%F %T') CHANGED: $f"" >> /var/log/nobody_cleanup.log; done"
run a command in a network namespace,sudo ip netns exec mynamespace command
Preprocess C++ file 'omnitest.cpp' (resolve all preprocessor directives) and page interactively through the result.,g++ omnitest.cpp -E | less
deny a port 23 through the firewall,sudo ufw deny 23
"Using awk and sed, transform a tab‑separated values (TSV) file into a JSON array where each line becomes an object with keys from the header row.","awk -F'	' 'NR==1{for(i=1;i<=NF;i++)h[i]=$i;next}{printf ""%s{"",sep; for(i=1;i<=NF;i++) printf ""\""%s\"": \""%s\""%s"",h[i],$i,(i<NF?"", "":""}""); sep="", ""; print ""}""} END{print ""]""}' OFS=, input.tsv | sed '1s/^/[/'"
"Display the first 5 entries of the system journal for the ""ssh"" service",journalctl -u ssh -n 5 --no-pager
paste two files side by side,paste file1.txt file2.txt
"Print the current date in the format ""YYYY-MM-DD"".",date +%F
Schedule a one‑time system shutdown in 15 minutes with a custom message.,"sudo shutdown -h +15 ""System will shut down in 15 minutes"""
"Extract the tar.gz archive ""archive.tar.gz"" into the current directory",tar -xzvf archive.tar.gz
"Search recursively for the string ""TODO"" in all .c and .h files, showing line numbers.","grep -R -n ""TODO"" --include=""*.{c,h}"" ."
Show the HTTP response headers for https://api.example.com using curl.,curl -I https://api.example.com
"Create a Bash one‑liner that lists all TCP ports currently listening, groups them by the owning process name, and displays the count per process, sorted descending.","ss -tlnp | awk 'NR>1{print $NF}' | cut -d',' -f2 | sort | uniq -c | sort -nr | awk '{printf ""%5s %s\n"", $1, $2}'"
securely delete a file,shred -vfz -n 5 sensitive_file.txt
"Print the size of each file in the current directory in human readable form, sorted largest first",ls -lhS
"Follows symbolic link $BASH_SOURCE, and prints path to its target.",$(dirname $(readlink -f $BASH_SOURCE))
kubernetes get resource usage of nodes,kubectl top nodes
Copy the public SSH key to a remote server named 'remote_server',ssh-copy-id remote_server
"Perform a dry run replacing ""special"" with ""regular"" in all file names in the current directory",rename -n 's/special/regular/' **
Run the command 'true' with an empty environment variable doFirst,doFirst= true
"Find all *.xml.bz2 files under current directory and run the command find_graph with -build_graph, $i.graph and $i as it's arguments where $i is expanded to each file path","for i in `find . | grep "".xml.bz2$""`; do find_graph -build_graph $i.graph $i; done"
Check the current network configuration,ifconfig
run cmake to generate build files,cmake .
"List the contents of a zip file ""backup.zip"" without extracting",unzip -l backup.zip
"Create a symbolic link named ""latest.log"" that points to the newest log file in /var/log/app/.",ln -s $(ls -t /var/log/app/*.log | head -n1) latest.log
create a coredump of a running process,gcore PID
"Write a bash snippet that monitors the load average every minute, and if the 5‑minute load exceeds the number of CPU cores, logs a warning with timestamp to /var/log/load_warn.log.","cores=$(nproc); while true; do load=$(awk '{print $2}' /proc/loadavg); cmp=$(echo ""$load > $cores"" | bc); if (( cmp )); then echo ""$(date +'%F %T') HIGH LOAD: $load"" >> /var/log/load_warn.log; fi; sleep 60; done &"
"Save the physical current working directory to variable ""END_ABS""",END_ABS=`pwd -P`
Print yesterday's date as yyy:mm:dd,"date +%Y:%m:%d -d ""yesterday"""
"Generate a report of disk usage per user (sum of all files owned by the user) on /home, sorted descending, and email it to admin@example.com using mailx.","du -sh /home/* | sort -hr | awk '{print $2"",""$1}' > /tmp/disk_report.csv; mailx -s ""Home Disk Usage Report"" -a /tmp/disk_report.csv admin@example.com <<< ""See attached CSV for per‑user usage."""
"Find all files under /var/www that have been accessed in the last hour, tar them preserving permissions, and stream the archive over SSH to backup@example.com:/backups/www_recent.tar.gz.",find /var/www -type f -atime -1 -print0 | tar --null -czf - --files-from=- | ssh backup@example.com 'cat > /backups/www_recent.tar.gz'
"Save the canonical path of ""$dir/$file"" in variable ""path""","path=`readlink --canonicalize ""$dir/$file""`"
sort a file numerically,sort -n YOUR_FILE
"Generate a SHA256 checksum for the file ""archive.tar.gz"" and save it to ""archive.sha256"".",sha256sum archive.tar.gz > archive.sha256
Add a cron job that runs /usr/local/bin/cleanup.sh every Sunday at 3 am.,"(crontab -l 2>/dev/null; echo ""0 3 * * 0 /usr/local/bin/cleanup.sh"") | crontab -"
Change the current directory to the parent directory,cd ..
Create a zip archive of a directory named 'docs',zip -r docs.zip docs/
helm update repositories,helm repo update
"Create a Bash function that takes a directory path and prints the top 5 largest files recursively, showing size in human‑readable format and sorting them descending.","#!/usr/bin/env bash
largest_files(){
  local dir=""${1:-.}""
  find ""$dir"" -type f -printf ""%s %p\n"" |\
    sort -rn |\
    head -n 5 |\
    awk '{printf ""%s\t%s\n"", $1/1024/1024 ""MiB"", $2}'
}
# Usage: largest_files /path/to/dir"
mount a Windows share,sudo mount -t cifs YOUR_SHARE_PATH YOUR_MOUNT_POINT -o username=YOUR_USER
"Find all files named ""secret.key"" anywhere under /home and change their permissions to 600.","find /home -type f -name ""secret.key"" -exec chmod 600 {} \;"
Create a compressed tar archive named backup.tar.gz containing the directory /home/user/data.,tar -czf backup.tar.gz /home/user/data
"Run the Python one-liner to print ""Hello, World!""","python -c ""print('Hello, World!')"""
build a Go binary,go build
Show the current system date and time in ISO‑8601 format.,date --iso-8601=seconds
kubernetes drain a node mynode for maintenance,kubectl drain mynode --ignore-daemonsets --delete-emptydir-data
"Create a temporary directory and print its path, ensuring it is removed automatically when the script exits.","tmpdir=$(mktemp -d) && echo ""$tmpdir"" && trap ""rm -rf $tmpdir"" EXIT"
Create a compressed tar archive named backup.tar.gz containing the directory /etc and exclude the file /etc/hosts.,"tar --exclude=""/etc/hosts"" -czvf backup.tar.gz /etc"
"Send two ping requests to ""www.google.com""",ping -c 2 www.google.com
"Display the last 20 lines of ""system.log"" and continuously follow new entries.",tail -n 20 -f system.log
Replace all occurrences of 'example' with 'new_example' in a file named 'example.txt',sed 's/example/new_example/g' example.txt
sign a file file.txt with GPG,gpg --sign file.txt
"Find all files with the extension "".bak"" that were modified more than 30 days ago and delete them","find . -type f -name ""*.bak"" -mtime +30 -delete"
"Create a new user ""alice"" with a home directory and default shell ""/bin/bash"".",useradd -m -s /bin/bash alice
convert hex to string,"echo ""68656c6c6f"" | xxd -r -p"
sleep for 1 second,sleep 1
Search for a file named 'file.txt' in the current directory and subdirectories,find . -name file.txt
"Using only Bash and grep, extract all lines from /etc/passwd where the shell is /bin/bash and the UID is an even number.",grep '/bin/bash' /etc/passwd | awk -F: '($3%2==0){print}'
Gets IP address of first listed network interface in system.,ifconfig | grep 'inet addr:' | grep -v 127.0.0.1 | head -n1 | cut -f2 -d: | cut -f1 -d ' '
show only matching part of lines,"grep -o ""pattern"" file.txt"
Check the MD5 checksum of file.iso,md5sum file.iso
Find all files in the current directory that have not been accessed in the last 30 days and list them.,find . -type f -atime +30
"Find all Git repositories under ~/work, and for each, list the number of untracked files, staged changes, and commits ahead of origin/master.","find ~/work -type d -name '.git' -prune -print0 | while IFS= read -r -d '' gitdir; do repo=$(dirname ""$gitdir""); echo ""Repo: $repo""; (cd ""$repo"" && echo -n 'Untracked: '; git ls-files --others --exclude-standard | wc -l; echo -n 'Staged: '; git diff --cached --numstat | wc -l; echo -n 'Ahead: '; git rev-list --count @{u}..HEAD 2>/dev/null || echo 0); done"
search commit messages,"git log --grep=""search term"""
Display the first 5 entries of the system journal.,journalctl -n 5
add a suffix before the extension,"for f in *.txt; do mv ""$f"" ""${f%.txt}_backup.txt""; done"
"Generate a tar archive of all files modified in the last week under /opt/apps, excluding any .log files, and compute its SHA256 checksum, printing both archive name and checksum.","archive=""/tmp/apps_weekly_$(date +%F).tar.gz""
find /opt/apps -type f -mtime -7 ! -name ""*.log"" -print0 |
  tar --null -czvf ""$archive"" --files-from=-
sha256sum ""$archive"" | awk '{print ""Archive: ""$1""\nChecksum: ""$2}'"
Extract backup.tar.gz into the current directory,tar -xzf backup.tar.gz
Find all files larger than 100 MiB in /home and delete them after confirmation.,find /home -type f -size +100M -exec rm -i {} \;
"Recursively change the user and group of all files in ""/var/log/jenkins"" to ""root""",chown -R root:root /var/log/jenkins
"Show the size of each file in the current directory in human‑readable format, sorted largest first",du -sh * | sort -hr
Change the permissions of script.sh to be executable by the owner only,chmod 700 script.sh
"Find all JSON files under /data, pretty‑print each with jq, and archive the pretty‑printed versions into a tar.gz named pretty_jsons.tar.gz preserving directory structure.","find /data -type f -name '*.json' -print0 | while IFS= read -r -d '' file; do jq . ""$file"" > ""${file}.pretty""; done && tar -czf pretty_jsons.tar.gz $(find /data -name '*.json.pretty')"
"Print the current PATH variable, each entry on a new line","printf ""%s\n"" $PATH | tr ':' '\n'
/usr/local/sbin
/usr/local/bin
/usr/sbin
/usr/bin
/sbin
/bin"
"Format tab delimited file ""list-of-entries.txt"" as a table",column -t -s $'\t' list-of-entries.txt
"Create a command pipeline that extracts all IPv6 addresses from /var/log/auth.log, counts their occurrences, and displays the top three most frequent ones.","grep -oE '([0-9a-fA-F]{0,4}:){2,7}[0-9a-fA-F]{0,4}' /var/log/auth.log | sort | uniq -c | sort -nr | head -3"
Send TERM signal to process with id listed in '/var/run/DataBaseSynchronizerClient.pid' file,kill `cat /var/run/DataBaseSynchronizerClient.pid`
run make with a specific target install,make install
"Format output of ""mount"" as a table",mount | column -t
Print content of 'file' file reverted characterwise,rev file
convert tabs to spaces,expand file.txt
ansible run playbook in check mode,ansible-playbook --check YOUR_PLAYBOOK
Show the IP address(es) assigned to the machine.,hostname -I
use awk to monitor network connections in real time,watch -n 1 'ss -s'
Find '.java' files with checksum 0bee89b07a248e27c83fc3d5951213c1 in the current directory,md5sum *.java | grep 0bee89b07a248e27c83fc3d5951213c1
"Extract all IPv4 addresses from nginx access logs, count occurrences, and output the top 5 IPs with request counts, formatted as a table.","awk '{print $1}' /var/log/nginx/access.log | sort | uniq -c | sort -nr | head -n5 | awk '{printf ""%s\t%s\n"", $2, $1}'"
"Download a file from example.com and save it as data.zip, showing a progress bar.",curl -O --progress-bar http://example.com/data.zip
Save first IP address of domain 'google.com' in 'address' variable,address=$(dig +short google.com | grep -E '^[0-9.]+$' | head -n 1)
"Convert all spaces to tabs in ""data.txt"" and overwrite the file",sed -i 's/ /\t/g' data.txt
merge two CSV files by a common column,"join -t',' YOUR_FILE1 YOUR_FILE2"
"Monitor the CPU usage every 2 seconds, displaying only the idle percentage.","mpstat 2 1 | awk '/Average/ {print 100-$12""% idle""}'"
"Replace all occurrences of ""foo"" with ""bar"" in the file ""data.txt"" and save the changes in‑place.",sed -i 's/foo/bar/g' data.txt
Generate a random password of 16 characters using openssl.,openssl rand -base64 12 | cut -c1-16
"Display the last 20 lines of a log file called ""app.log"".",tail -n 20 app.log
Show a summary of network interface statistics.,ifconfig -s
Change the default shell of a user named 'john' to 'bash',chsh -s /bin/bash john
Counts the number of lines in each file in a git repository.,wc -l --files0-from=<(git ls-files -z)
"Write a one‑liner that lists all systemd services that failed to start in the last boot, showing service name and the timestamp of the failure.","journalctl -b -u '*service' | grep -i 'failed' | awk -F'[][]' '{print $2"" ""$3}'"
"Create an empty file (or update timestamp of file) specified by variable ""correctFilePathAndName""","touch ""$correctFilePathAndName"""
"Find all files in ""/tmp"" that have not been accessed in the last 30 days and delete them.",find /tmp -type f -atime +30 -delete
Create a new group named 'admin',groupadd admin
"Convert the image ""photo.png"" to a JPEG with 85% quality using ImageMagick.",convert photo.png -quality 85 photo.jpg
"Show the difference between ""file1.txt"" and ""file2.txt""",diff file1.txt file2.txt
Create multiple empty files,touch {a..z}.log
"Convert relative symbolic link ""$link"" to absolute symbolic link","ln -sf ""$(readlink -f ""$link"")"" ""$link"""
