prompt,command
Print the size of the file video.mp4 in megabytes with two decimal places,"printf ""%.2f MB\n"" $(du -b video.mp4 | cut -f1 | awk '{print $1/1024/1024}')"
"Convert all .wav files in the current directory to .mp3 using ffmpeg, preserving the original filenames","for f in *.wav; do ffmpeg -i ""$f"" ""${f%.wav}.mp3""; done"
Display the 5 most recent git commits in a compact format,git log -5 --oneline
Replace spaces with underscores in all filenames within the directory pictures/,"for f in pictures/*\ *; do mv ""$f"" ""${f// /_}""; done"
Calculate the SHA‑256 checksum of the file archive.zip and save it to archive.sha256,sha256sum archive.zip > archive.sha256
"List the top 10 largest files in the filesystem, sorted descending",find / -type f -exec du -h {} + 2>/dev/null | sort -rh | head -n 10
"Show a real‑time view of the last 100 lines of /var/log/auth.log, highlighting the word ""failed""","tail -n 100 -f /var/log/auth.log | grep --color=always -i ""failed"""
Create a Docker container from the image nginx:latest and map host port 8080 to container port 80,docker run -d -p 8080:80 nginx:latest
Stop and remove all Docker containers that have exited,docker rm $(docker ps -a -q -f status=exited)
"List all installed packages that contain the word ""python"" using apt",apt list --installed | grep python
Generate a QR code from the URL https://openai.com and save it as qrcode.png (requires qrencode),qrencode -o qrcode.png https://openai.com
Print the current Git branch name (inside a repo),git rev-parse --abbrev-ref HEAD
Create a 1 GB file filled with zeros named dummy.bin,dd if=/dev/zero of=dummy.bin bs=1M count=1024
Show the HTTP response headers for https://api.github.com (no body),curl -I https://api.github.com
Display the current SELinux mode,getenforce
Find all files larger than 100 MB and delete them after confirmation,"find . -type f -size +100M -exec ls -lh {} \; -exec read -p ""Delete {}? (y/n) "" ans \; -eq y && rm -i {} \;"
Show a histogram of the distribution of file sizes in the current directory,du -b * | awk '{print $1}' | sort -n | uniq -c | nl -w2 -s' | '
List all USB devices currently attached,lsusb
Convert a Markdown file README.md to PDF using pandoc,pandoc README.md -o README.pdf
Display the current battery charge percentage (on a laptop),acpi -b | grep -P -o '[0-9]+(?=%)'
Create a new tmux session named dev and attach to it,tmux new -s dev
Kill all processes named python3,pkill python3
Show the difference between two branches main and feature using a side‑by‑side diff,git diff --color-words --side-by-side main..feature
"Show the first 10 lines of a file named ""access.log"".",head -n 10 access.log
"Search for the word ""ERROR"" (case‑insensitive) in all "".log"" files in /var/log and display line numbers.","grep -i -n ""ERROR"" /var/log/*.log"
"Count how many times the string ""TODO"" appears in all "".py"" files recursively from the current directory.","grep -roh ""TODO"" ./**/*.py | wc -l"
"Create a compressed tarball named ""backup.tar.gz"" containing the directory ""project"" while preserving permissions.",tar -czvf backup.tar.gz project
"Extract the archive ""data.tar.bz2"" into the current directory, preserving file timestamps.",tar -xjvf data.tar.bz2 --preserve-permissions
"Display the current disk usage of the ""/home"" partition in a human‑readable format.",df -h /home
"Show the top 5 processes consuming the most memory, sorted descending.",ps aux --sort=-%mem | head -n 6
"Find all files larger than 100 MB in ""/var"" and delete them after confirmation.",find /var -type f -size +100M -exec rm -i {} \;
"Replace every occurrence of the word ""foo"" with ""bar"" in the file ""config.txt"" and save changes in‑place.",sed -i 's/foo/bar/g' config.txt
"Print the 3rd column of the file ""data.csv"" assuming comma as delimiter.","cut -d',' -f3 data.csv"
Show the current IP addresses of all network interfaces.,ip -brief address
"Download the file from ""https://example.com/file.zip"" and save it as ""file.zip"" using curl, showing progress.",curl -O https://example.com/file.zip
"Upload the local file ""report.pdf"" to the remote server ""example.com"" via scp, placing it in ""/tmp"".",scp report.pdf user@example.com:/tmp/
"Create a new git branch named ""feature/login"" and switch to it.",git checkout -b feature/login
Show the last 20 commits on the current branch in a one‑line format.,git log --oneline -n 20
"Merge the branch ""dev"" into the current branch, preferring ""dev"" changes in conflicts.",git merge -X theirs dev
"Schedule a cron job that runs ""/usr/local/bin/cleanup.sh"" every day at 2 am.","(crontab -l 2>/dev/null; echo ""0 2 * * * /usr/local/bin/cleanup.sh"") | crontab -"
Print the current kernel version.,uname -r
"Create a symbolic link named ""latest"" that points to the directory ""release_v2.3"".",ln -s release_v2.3 latest
"Count how many lines in ""access.log"" contain a 404 status code.","grep "" 404 "" access.log | wc -l"
"Display the first field (username) of each line in ""/etc/passwd"".",cut -d: -f1 /etc/passwd
"Show the differences between the files ""old.cfg"" and ""new.cfg"" using a unified diff format.",diff -u old.cfg new.cfg
"Search recursively for files named ""README.md"" starting from the home directory.",find ~/ -type f -name README.md
Print the process tree for the process with PID 1234.,pstree -p 1234
"Compress the file ""large.log"" using gzip, keeping the original file.",gzip -c large.log > large.log.gz
"Decompress the file ""archive.tar.gz"" into the directory ""/opt/data"".",tar -xzvf archive.tar.gz -C /opt/data
"Show the last 50 lines of the system journal for the service ""nginx"".",journalctl -u nginx -n 50
"Set the environment variable ""JAVA_HOME"" to ""/usr/lib/jvm/java-11-openjdk"" for the current session.",export JAVA_HOME=/usr/lib/jvm/java-11-openjdk
"List the contents of a zip archive ""source.zip"" without extracting it.",unzip -l source.zip
"Extract only the file ""config.yaml"" from the archive ""backup.tar.gz"".",tar -xzvf backup.tar.gz config.yaml
"Find all symbolic links in ""/usr/local"" that are broken.",find /usr/local -xtype l
"Create a new user ""alice"" with a home directory and default shell ""/bin/bash"".",useradd -m -s /bin/bash alice
"Change the password for user ""bob"" (prompt will ask for the new password).",passwd bob
"Show the HTTP headers returned by a GET request to ""https://api.example.com/status"" using curl.",curl -I https://api.example.com/status
"Measure how long it takes to copy the directory ""src"" to ""dst"" using rsync, showing progress.",time rsync -avh --progress src/ dst/
"Start a detached Docker container from the image ""nginx:latest"" mapping host port 8080 to container port 80.",docker run -d -p 8080:80 nginx:latest
"Stop and remove the Docker container named ""webapp"".",docker rm -f webapp
Show the current date and time in ISO 8601 format.,date --iso-8601=seconds
"Generate a random 16‑character alphanumeric password and store it in the variable ""PASS"".",PASS=$(openssl rand -base64 12 | tr -dc 'A-Za-z0-9' | head -c16)
Display the first 5 entries of the system's routing table.,ip route list | head -n 5
"Find all lines in ""server.conf"" that are not comments and contain the word ""listen"".","grep -v '^#' server.conf | grep ""listen"""
"Replace the first occurrence of ""localhost"" with the hostname of the machine in the file ""hosts.cfg"".","sed -i ""0,/localhost/s//$(hostname)/"" hosts.cfg"
"Calculate the MD5 checksum of the file ""image.iso"" and display it.",md5sum image.iso
"Show a tree view of the directory structure under ""src"" up to two levels deep.",find src -maxdepth 2 -type d | sed -e 's|[^/]*/|---|g'
List all users currently logged into the system.,who
"Display the last 100 lines of the system log file ""/var/log/syslog"" and follow new entries in real time.",tail -n 100 -f /var/log/syslog
"Create a Bash function named ""extract"" that extracts archives based on their extension (tar.gz, zip, rar).","extract() { if [[ $1 == *.tar.gz ]]; then tar -xzvf ""$1""; elif [[ $1 == *.zip ]]; then unzip ""$1""; elif [[ $1 == *.rar ]]; then unrar x ""$1""; else echo ""Unsupported format""; fi }"
Show the current environment variables sorted alphabetically.,printenv | sort
"Create a compressed archive ""logs.tar.xz"" containing all "".log"" files in ""/var/log"" while excluding files larger than 10 MB.","find /var/log -type f -name ""*.log"" -size -10M -print0 | tar --null -cJvf logs.tar.xz --files-from=-"
Display the version of Python 3 installed on the system.,python3 --version
"Run the command ""make"" and capture both stdout and stderr to a file named ""build.log"".",make > build.log 2>&1
Schedule a one‑time system shutdown in 15 minutes and display a custom warning message.,"shutdown -h +15 ""System will shut down in 15 minutes for maintenance"""
"Show the difference between the current directory and the remote directory ""/var/www"" on host ""example.com"" using rsync in dry‑run mode.",rsync -avhn --delete ./ user@example.com:/var/www
Print the number of CPU cores available on this machine.,nproc
"Search for the regular expression ""^ERROR[0-9]{3}:"" in the file ""app.log"" and display only the matching part of each line.","grep -o ""^ERROR[0-9]\{3\}:"" app.log"
"Create a new directory ""project"" and initialize an empty Git repository inside it.",mkdir project && cd project && git init
Display the current shell's version string.,echo $BASH_VERSION
List all open files for the process with PID 5678.,lsof -p 5678
"Change the permissions of all "".sh"" files in the current directory to be executable by the owner, group, and others.",chmod a+x *.sh
"Show the size of the file ""database.sqlite"" in a human‑readable format.",du -h database.sqlite | cut -f1
"Create a temporary file securely and store its name in the variable ""TMPFILE"".",TMPFILE=$(mktemp)
"Display a progress bar while copying a large file ""big.iso"" to ""/mnt/usb"" using pv.",pv big.iso > /mnt/usb/big.iso
"Generate a SHA‑256 hash of the string ""HelloWorld"" without creating a file.","echo -n ""HelloWorld"" | sha256sum"
List all installed packages that have available updates (Debian/Ubuntu).,apt list --upgradable
Show the current timezone setting of the system.,"timedatectl | grep ""Time zone"""
"Create a new tmux session named ""dev"" and attach to it.",tmux new -s dev
Detach from the current tmux session without killing it.,Ctrl‑b d
"Search for the word ""TODO"" in all files, ignoring the ""node_modules"" directory, and output the file name and line number.","grep -RIn ""TODO"" . --exclude-dir=node_modules"
"Convert the image ""photo.png"" to a JPEG with 85% quality using ImageMagick.",convert photo.png -quality 85 photo.jpg
Display the current system load averages.,cat /proc/loadavg
"Find duplicate files (by checksum) in the directory ""backup"" and list them.",fdupes -r backup
"Create a virtual environment named ""venv"" using Python 3 and activate it.",python3 -m venv venv && source venv/bin/activate
List all Bluetooth devices that are currently paired.,bluetoothctl paired-devices
"Show the current SELinux mode (Enforcing, Permissive, Disabled).",getenforce
Generate a random UUID and print it.,uuidgen
"Display the contents of the file ""data.json"" formatted with syntax highlighting using jq.",jq . data.json
"Create a compressed zip archive ""src.zip"" containing the directory ""src"" while preserving file permissions.",zip -r -X src.zip src
"Search for the pattern ""password"" in all files, but exclude the ""config"" directory, and show the matching lines with line numbers.","grep -RIn ""password"" . --exclude-dir=config"
"Set the system date to January 1, 2025, 12:00 PM (requires root).","date -s ""2025-01-01 12:00:00"""
List all active systemd services and their status in a table.,systemctl list-units --type=service --state=running
"Show the differences between two branches ""main"" and ""feature"" in Git, ignoring whitespace changes.",git diff -w main..feature
"Create a hard link to the file ""report.pdf"" named ""report_link.pdf"" in the same directory.",ln report.pdf report_link.pdf
Display the current mount points and their filesystem types in a tree view using findmnt.,findmnt -T /
"Monitor real‑time network traffic on interface ""eth0"" using tcpdump, showing only the first 20 packets.",tcpdump -i eth0 -c 20
Schedule a system reboot at 3:30 AM tomorrow using at.,"echo ""reboot"" | at 03:30 tomorrow"
"Check the SSL certificate expiration date for ""https://example.com"" using openssl.",echo | openssl s_client -servername example.com -connect example.com:443 2>/dev/null | openssl x509 -noout -dates
Print the current user's login shell.,echo $SHELL
"Create a symbolic link to the directory ""/opt/tools"" in your home directory named ""tools"".",ln -s /opt/tools ~/tools
"List all files in the current directory sorted by modification time, newest first.",ls -lt
"Search for the string ""Failed password"" in the authentication log and count occurrences per hour.","awk '/Failed password/ {print $1"" ""$2"" ""$3}' /var/log/auth.log | uniq -c"
Display the current process's memory usage in kilobytes.,ps -p $$ -o rss=
Show hidden files only in the current directory,ls -d .??*
"Create a new directory named ""project""",mkdir project
"Create nested directories ""src/utils"" in one command",mkdir -p src/utils
"Remove an empty directory called ""old_logs""",rmdir old_logs
"Delete a file named ""temp.txt"" without prompting",rm -f temp.txt
"Force delete a non‑empty directory ""backup"" and all its contents",rm -rf backup
"Copy file ""report.pdf"" to the directory ""archive"" preserving attributes",cp -p report.pdf archive/
"Copy a directory tree ""src"" to ""dest"" preserving symbolic links",cp -a src/ dest/
"Move (rename) file ""data.csv"" to ""data_2023.csv""",mv data.csv data_2023.csv
"Rename directory ""tmp"" to ""temp""",mv tmp temp
"Display the first 10 lines of ""log.txt""",head log.txt
"Show the last 20 lines of ""log.txt""",tail -n 20 log.txt
"Show the first and last 5 lines of ""file.txt""",head -n 5 file.txt && tail -n 5 file.txt
"Count the number of lines, words, and characters in ""document.md""",wc document.md
"Find all files larger than 100 MB in ""/var"" and list their paths",find /var -type f -size +100M
"List all processes owned by user ""alice""",ps -u alice
"Show a tree view of the directory structure starting at ""src""",tree src
Display disk usage of the current directory in human‑readable form,du -sh .
Show a summary of disk usage for each subdirectory in the current folder,du -h --max-depth=1
Display network interfaces and their IP addresses,ip addr show
Show active listening TCP ports,ss -tln
Download a file with wget and limit the download speed to 500 KB/s,wget --limit-rate=500k https://example.com/file.zip
"Extract a tar.gz archive ""archive.tar.gz"" into the current directory",tar -xzvf archive.tar.gz
"Create a compressed zip archive ""backup.zip"" containing the folder ""mydata""",zip -r backup.zip mydata
"List the contents of a zip file ""backup.zip"" without extracting",unzip -l backup.zip
"Search for the pattern ""TODO"" in all ""*.py"" files, showing line numbers","grep -n ""TODO"" *.py"
"Replace all occurrences of ""foo"" with ""bar"" in file ""config.cfg"" (in‑place)",sed -i 's/foo/bar/g' config.cfg
"Print the 3rd column of a space‑delimited file ""data.txt""",awk '{print $3}' data.txt
Display the last 5 commits in the current git repository,git log -n 5 --oneline
"Create a new git branch named ""feature/login""",git checkout -b feature/login
"Stash current changes in git with a message ""WIP""","git stash push -m ""WIP"""
"Show the current environment variables that contain the word ""PATH""",env | grep PATH
"Set the environment variable ""DEBUG"" to ""true"" for the current session",export DEBUG=true
"Append the line ""alias ll='ls -la'"" to the end of ""~/.bashrc""","echo ""alias ll='ls -la'"" >> ~/.bashrc"
Reload the current shell's configuration files,source ~/.bashrc
"Schedule a command ""backup.sh"" to run daily at 2 am using cron","(crontab -l 2>/dev/null; echo ""0 2 * * * /path/to/backup.sh"") | crontab -"
"Measure how long the command ""make"" takes to run",time make
"Run ""script.sh"" in the background and redirect both stdout and stderr to ""log.txt""",nohup ./script.sh > log.txt 2>&1 &
"Create a symbolic link ""latest.log"" pointing to ""log_2023_03_24.txt""",ln -s log_2023_03_24.txt latest.log
"Display the manual page for the ""grep"" command",man grep
"Show a short description of the ""awk"" command using the ""whatis"" database",whatis awk
"Compress the file ""largefile.bin"" using gzip with maximum compression",gzip -9 largefile.bin
"Decompress ""archive.tar.gz"" and extract only the file ""README.md""",tar -xzvf archive.tar.gz README.md
"Create a file ""notes.txt"" with the content ""Meeting at 10am"" using a single command","echo ""Meeting at 10am"" > notes.txt"
"Append the current date to the file ""log.txt""",date >> log.txt
List all open file descriptors for the process with PID 1234,lsof -p 1234
Show the current firewall rules using iptables,sudo iptables -L -v -n
"Convert the line endings of ""dosfile.txt"" from CRLF to LF",dos2unix dosfile.txt
Print the hostname of the machine,hostname
Display the total amount of free memory in megabytes,free -m | awk '/Mem:/ {print $4}'
"Find all files named ""config.yaml"" under ""/etc"" and print their absolute paths",find /etc -type f -name config.yaml -print
"Show the difference between the current branch and ""origin/main"" in git, ignoring whitespace changes",git diff --ignore-space-at-eol origin/main
"Show the last 5 lines of ""log.txt""",tail -n 5 log.txt
"Count the number of lines, words, and characters in ""report.txt""",wc report.txt
"Find all "".py"" files recursively from the current directory","find . -type f -name ""*.py"""
"Search for the word ""ERROR"" in all "".log"" files","grep -i ""ERROR"" *.log"
"Replace the string ""foo"" with ""bar"" in file ""data.txt"" (in-place)",sed -i 's/foo/bar/g' data.txt
"Create a new directory called ""backup""",mkdir backup
"Move file ""old.txt"" to directory ""archive/""",mv old.txt archive/
"Copy directory ""src"" to ""dst"" preserving attributes",cp -a src dst
"Delete the file ""temp.tmp"" without prompting",rm -f temp.tmp
Show the disk usage of the current directory in human‑readable format,du -sh .
Display the amount of free and used memory,free -h
Show the last 20 lines of system log and follow new entries,tail -n 20 -f /var/log/syslog
List all listening network ports with their associated processes,sudo lsof -i -P -n | grep LISTEN
"Compress the directory ""logs"" into a gzip archive ""logs.tar.gz""",tar -czvf logs.tar.gz logs
Print the current date and time in ISO‑8601 format,date --iso-8601=seconds
"Create a symbolic link named ""latest"" pointing to ""release_v2.3""",ln -s release_v2.3 latest
"Display the first 3 columns of the output of ""ps aux""","ps aux | awk '{print $1,$2,$3}'"
"Sort the contents of ""names.txt"" alphabetically and remove duplicates",sort -u names.txt
"Show the difference between ""file1.txt"" and ""file2.txt""",diff file1.txt file2.txt
"Count how many times the word ""success"" appears in ""log.txt""","grep -o ""success"" log.txt | wc -l"
"Display the environment variables that contain the string ""PATH""",env | grep PATH
"Set the variable ""PROJECT"" to ""demo"" and export it",export PROJECT=demo
"Append the text ""Completed"" to the end of ""status.log""","echo ""Completed"" >> status.log"
Show the top 5 processes by memory usage,ps aux --sort=-%mem | head -n 6
"Download a file from ""https://example.com/file.zip"" using curl",curl -O https://example.com/file.zip
"Upload ""data.json"" to an SFTP server ""sftp.example.com"" as user ""admin""",sftp admin@sftp.example.com <<< $'put data.json'
"Create a Bash array named ""servers"" containing three hostnames",servers=(server1.example.com server2.example.com server3.example.com)
Show the size of each file in the current directory in human‑readable form,ls -lh
"Find and delete all "".bak"" files older than 30 days","find . -name ""*.bak"" -type f -mtime +30 -delete"
"Show the last login time for the user ""alice""",lastlog -u alice
"Print the first 5 characters of each line in ""data.txt""",cut -c1-5 data.txt
Generate a random password of 12 alphanumeric characters,tr -dc 'A-Za-z0-9' </dev/urandom | head -c12
Show the list of installed packages on an Ubuntu system,dpkg -l
"Check the syntax of a Bash script ""script.sh"" without executing it",bash -n script.sh
"Run the command ""make"" and save both stdout and stderr to ""build.log""",make > build.log 2>&1
"Display a progress bar while copying a large file ""big.iso"" to ""/mnt/backup""",pv big.iso > /mnt/backup/big.iso
"Set the terminal title to ""My Session""","echo -ne ""\033]0;My Session\007"""
"Create a new user ""devuser"" without a home directory",sudo useradd -M devuser
"Change the ownership of ""project/"" to user ""devuser"" and group ""developers"" recursively",sudo chown -R devuser:developers project/
Display the IP address of the machine's primary network interface,hostname -I | awk '{print $1}'
"Schedule a job to run ""backup.sh"" at 2 am every day using cron","(crontab -l ; echo ""0 2 * * * /path/to/backup.sh"") | crontab -"
"Convert a PDF file ""doc.pdf"" to a series of PNG images",convert -density 300 doc.pdf page_%03d.png
"Print the first 10 lines of the output of ""dmesg"" that contain the word ""USB""",dmesg | grep USB | head -n 10
"Create a compressed zip archive ""src.zip"" containing the contents of the directory ""src""",zip -r src.zip src
"Extract only the ""config.yaml"" file from the archive ""archive.tar.gz""",tar -xzvf archive.tar.gz config.yaml
Display a tree view of the current directory up to two levels deep,tree -L 2
Show the current bash version,bash --version
"Run a Python one‑liner that prints ""Hello, World!""","python3 -c ""print('Hello, World!')"""
Monitor real‑time CPU usage with a simple text interface,top
"Pull the latest version of the ""nginx"" image from Docker Hub",docker pull nginx
"Show the contents of the environment variable ""PATH"" as a colon‑separated list",echo $PATH
"List all files in the current directory in long format, including hidden files.",ls -la
"Display the last 20 lines of ""/var/log/syslog"" and follow new entries as they are written.",tail -n 20 -f /var/log/syslog
"Search recursively for the string ""ERROR"" in all "".log"" files under ""/var/log"" and show the filename and line number.","grep -R ""ERROR"" /var/log/*.log -n"
"Count how many lines, words, and characters are in the file ""report.md"".",wc report.md
"Create a new directory called ""backup_2023"" and ensure all parent directories are created if they do not exist.",mkdir -p backup_2023
"Move all "".tmp"" files from the current directory to ""/tmp"".",mv *.tmp /tmp/
"Copy the directory ""src"" and its contents to ""dst"", preserving attributes.",cp -a src dst
"Delete all files ending with ""~"" in the home directory without prompting.",rm -f ~/*~
"Display the disk usage of the ""/home"" directory in human‑readable format, sorted by size.",du -sh /home/* | sort -h
"Find all executable files in ""/usr/local/bin"" that were modified in the last 7 days.",find /usr/local/bin -type f -executable -mtime -7
Show the current date and time in ISO‑8601 format.,date --iso-8601=seconds
"Compress the directory ""logs"" into a gzipped tarball named ""logs.tar.gz"".",tar -czvf logs.tar.gz logs
"Extract the archive ""backup.tar.gz"" into the current directory.",tar -xzvf backup.tar.gz
"Show a tree view of the directory structure starting at ""/etc"", limited to depth 2.",tree -L 2 /etc
"Display the current memory usage in megabytes, sorted by used memory.","free -m | awk 'NR==2{print ""Used:""$3"" MB""}'"
"Replace all occurrences of ""foo"" with ""bar"" in the file ""data.txt"" and save the changes in‑place.",sed -i 's/foo/bar/g' data.txt
"Append the current timestamp to the file ""run.log"".",date >> run.log
Show the last 5 commands you executed in the current shell session.,history | tail -n 5
Display the IP addresses of all network interfaces.,ip -brief address
Monitor the CPU usage of all processes in real time.,top
"Show the differences between the files ""config.old"" and ""config.new"" in unified diff format.",diff -u config.old config.new
"Print the first field (username) from the ""/etc/passwd"" file.",cut -d: -f1 /etc/passwd
"Sort the lines in ""names.txt"" alphabetically and remove duplicate entries.",sort -u names.txt
"Download the file from ""https://example.com/file.zip"" and save it as ""file.zip"".",curl -L -o file.zip https://example.com/file.zip
"Upload the local file ""report.pdf"" to the remote server ""example.com"" using SCP, placing it in ""/tmp"".",scp report.pdf user@example.com:/tmp/
"Show the environment variable ""PATH"".",echo $PATH
"Show the total number of lines across all "".py"" files in the current directory and its subdirectories.","find . -name ""*.py"" -exec cat {} + | wc -l"
Display the last 3 commits in the current Git repository in a one‑line format.,git log -3 --oneline
"Create a new Git branch named ""feature/login"" and switch to it.",git checkout -b feature/login
"Show the differences between the current working tree and the last commit, ignoring whitespace changes.",git diff -w
List all Docker containers (both running and stopped).,docker ps -a
"Start a Docker container from the image ""nginx:latest"" mapping host port 8080 to container port 80.",docker run -d -p 8080:80 nginx:latest
Stop and remove all stopped Docker containers.,docker container prune -f
Display the kernel version of the operating system.,uname -r
"Find all symbolic links in ""/usr/bin"" that are broken.",find /usr/bin -xtype l
"Print the first 5 lines of each "".conf"" file in ""/etc"".","for f in /etc/*.conf; do echo ""--- $f ---""; head -n 5 ""$f""; done"
"Create a text file named ""notes.txt"" containing the string ""Meeting at 10am"".","echo ""Meeting at 10am"" > notes.txt"
"Append the contents of ""new_entries.txt"" to the end of ""log.txt"" without overwriting existing data.",cat new_entries.txt >> log.txt
"Replace spaces with tabs in the file ""data.csv"" and save the result to ""data.tsv"".",tr ' ' '\t' < data.csv > data.tsv
"Set the terminal title to ""My Session"" using an escape sequence.","echo -ne ""\033]0;My Session\007"""
"Create a Bash function named ""mkcd"" that makes a directory and then changes into it.","mkcd() { mkdir -p ""$1"" && cd ""$1""; }"
"Show the size of each subdirectory in the current directory, sorted from largest to smallest.",du -sh */ | sort -rh
"Find all lines containing the word ""TODO"" in source files under ""src/"" and write them to ""todos.txt"".","grep -R ""TODO"" src/ > todos.txt"
"Schedule a one‑time job to run the script ""backup.sh"" at 2 AM tomorrow using at.","echo ""~/backup.sh"" | at 02:00 tomorrow"
Check whether the port 3306 is listening on the local machine.,ss -tuln | grep ':3306'
Print the current Bash version.,echo $BASH_VERSION
"Convert all uppercase letters to lowercase in the file ""names.txt"" and overwrite the file.",tr 'A-Z' 'a-z' < names.txt > names.tmp && mv names.tmp names.txt
"Create a compressed zip archive named ""project.zip"" containing the folder ""project/"" while preserving permissions.",zip -r -X project.zip project/
"Extract only the file ""README.md"" from the archive ""source.tar.gz"" without extracting other files.",tar -xzvf source.tar.gz README.md
"Print the first 3 columns of the output of ""ps aux"" using awk.","ps aux | awk '{print $1, $2, $3}'"
"Create a cron job that runs ""/usr/local/bin/cleanup.sh"" every Sunday at 3 AM.","(crontab -l 2>/dev/null; echo ""0 3 * * 0 /usr/local/bin/cleanup.sh"") | crontab -"
"Show the difference between two directories ""dirA"" and ""dirB"" recursively, ignoring whitespace.",diff -r -w dirA dirB
Display the current shell's exit status of the last command executed.,echo $?
"Set a Bash alias named ""ll"" for ""ls -alF"".",alias ll='ls -alF'
Show the total amount of free memory in megabytes.,free -m | awk 'NR==2{print $4}'
List all users on the system who have a UID greater than or equal to 1000.,awk -F: '$3>=1000 {print $1}' /etc/passwd
"Generate a UUID and store it in the variable ""MY_UUID"".",MY_UUID=$(cat /proc/sys/kernel/random/uuid)
Print the current terminal's dimensions (rows and columns).,stty size
"Display the contents of the file ""config.json"" with syntax highlighting using ""jq"".",jq . config.json
"Create a new user ""bob"" with a home directory and default shell ""/bin/bash"".",sudo useradd -m -s /bin/bash bob
"Lock the user account ""alice"" to prevent login.",sudo usermod -L alice
Show the list of loaded kernel modules.,lsmod
"Find and replace the string ""http://old.example.com"" with ""https://new.example.com"" in all "".html"" files under ""site/"" recursively.","find site/ -type f -name ""*.html"" -exec sed -i 's|http://old.example.com|https://new.example.com|g' {} +"
Display the current system's locale settings.,locale
"Create a temporary file and print its name, then delete it after use.","tmpfile=$(mktemp) && echo ""Created: $tmpfile"" && rm ""$tmpfile"""
"Show a progress bar while copying a large file ""big.iso"" to ""/mnt/backup"" using rsync.",rsync --progress big.iso /mnt/backup/
List all installed packages on a Debian‑based system.,dpkg -l
Upgrade all installed packages on an Arch Linux system.,sudo pacman -Syu
"Display the HTTP headers returned by ""https://api.example.com/status"" using curl.",curl -I https://api.example.com/status
"Measure the time it takes to run the command ""make"" and display the result.",time make
"Show the most recent 5 entries in the system journal for the ""ssh"" service.",journalctl -u ssh -n 5
"Create a Bash script named ""hello.sh"" that prints ""Hello, World!"" and make it executable.","echo -e '#!/usr/bin/env bash\n echo ""Hello, World!""' > hello.sh && chmod +x hello.sh"
"Run the script ""hello.sh"" in the background and redirect its output to ""hello.log"".",./hello.sh > hello.log 2>&1 &
Find all files in the current directory that have not been accessed in the last 30 days and list them.,find . -type f -atime +30
Display the current Git branch name in the prompt using PS1.,export PS1='\u@\h \W $(git rev-parse --abbrev-ref HEAD)> '
"Show the size of the file ""video.mp4"" in a human‑readable format.",ls -lh video.mp4 | awk '{print $5}'
List all network connections in the LISTEN state with their corresponding process names.,ss -tulnp
"Compress the file ""data.csv"" using bzip2 and keep the original file.",bzip2 -k data.csv
"Decompress the file ""archive.bz2"" to standard output and pipe it to ""less"" for viewing.",bzip2 -dc archive.bz2 | less
"Create a hard link named ""hardlink.txt"" pointing to ""original.txt"".",ln original.txt hardlink.txt
"Show the total number of files in the directory ""/var/log"".",find /var/log -type f | wc -l
Print the current shell's options and their values.,shopt
"Search for the pattern ""^ERROR"" at the beginning of lines in ""system.log"" and display line numbers.",grep -n '^ERROR' system.log
Display the list of users currently logged in.,who
Show the current process tree in a hierarchical view.,pstree -p
"Create a new empty file named ""empty.txt"" or update its timestamp if it already exists.",touch empty.txt
"Find all duplicate files (by content) in the directory ""photos/"" using md5sum.",find photos/ -type f -exec md5sum {} + | sort | uniq -w32 -dD
Display the current user's login name.,whoami
"Show the last 10 lines of the output of the command ""dmesg"" in reverse order.",dmesg | tail -n 10 | tac
Print the current environment variables in alphabetical order.,printenv | sort
"Create a named pipe called ""myfifo"" and read from it in the background.",mkfifo myfifo && cat myfifo &
"Set a Bash trap to execute the function ""cleanup"" on EXIT.",trap cleanup EXIT
"Display the list of available shells from ""/etc/shells"".",cat /etc/shells
"Find all lines in ""config.ini"" that are not comments (do not start with #) and print them.",grep -v '^#' config.ini
Show the current user's groups.,groups
"Create a new virtual environment named ""venv"" using Python 3.",python3 -m venv venv
"Activate the Python virtual environment ""venv"" in the current shell.",source venv/bin/activate
Deactivate the currently active Python virtual environment.,deactivate
Display the last 20 lines of the file /var/log/auth.log and follow new additions in real time.,tail -n 20 -f /var/log/auth.log
Find all Python files (*.py) in the current directory and its subdirectories.,"find . -type f -name ""*.py"""
"Search for the word ""ERROR"" (case‑insensitive) in all log files under /var/log and show line numbers.","grep -i -n ""ERROR"" /var/log/*.log"
"Count how many lines, words, and bytes are in the file README.md.",wc README.md
"Show a tree view of the current directory up to depth 2, without printing file names.",find . -maxdepth 2 -type d
Create a compressed tarball named backup.tar.gz containing the directory /etc and all its contents.,tar -czvf backup.tar.gz /etc
"Extract the archive archive.tar.bz2 into the current directory, preserving permissions.",tar -xjvf archive.tar.bz2
"Download the file https://example.com/data.csv and save it as data.csv, showing a progress bar.",curl -O --progress-bar https://example.com/data.csv
"Upload the local file report.pdf to the remote server via SCP, placing it in /home/user/reports on the remote host example.com.",scp report.pdf user@example.com:/home/user/reports/
Show the current disk usage of all mounted filesystems in human‑readable format.,df -h
Display the amount of free and used memory in megabytes.,free -m
Kill the process with PID 12345 using a SIGTERM signal.,kill -15 12345
Forcefully terminate the process with PID 6789 using SIGKILL.,kill -9 6789
Show the network interfaces and their IP addresses.,ip -brief address
