prompt,command
show total size of a directory tree,du -sh directory/
find all files with a specific extension,"find . -name ""*.log"" -type f"
list files sorted by modification time,ls -lt
list files sorted by size,ls -lS
show only directories,ls -d */
show file permissions in octal,"stat -c ""%a %n"" *"
find the newest file in a directory,ls -t | head -1
find the oldest file in a directory,ls -t | tail -1
show hidden files only,ls -d .*
display directory tree structure,tree
display tree with file sizes,tree -sh
display tree limited to 2 levels,tree -L 2
display tree showing only directories,tree -d
watch disk space usage in real time,watch -n 5 df -h
monitor a specific directory for changes,inotifywait -mr /path/to/dir
count files by extension in a directory,find . -type f | sed 's/.*\.//' | sort | uniq -c | sort -rn
calculate total size of files by extension,"find . -name ""*.log"" -exec du -ch {} + | tail -1"
show the most recently modified files,"find . -type f -printf ""%T@ %p\n"" | sort -rn | head -20"
archive files older than 30 days,find . -mtime +30 -exec tar -rvf old_files.tar {} \;
delete files older than 90 days,find . -mtime +90 -delete
compress all log files,"find . -name ""*.log"" -exec gzip {} \;"
find files that are hardlinked,find . -type f -links +1
show inode number of a file,ls -i file.txt
monitor CPU usage continuously,sar -u 1
monitor memory usage continuously,sar -r 1
monitor disk I/O continuously,sar -d 1
monitor network traffic continuously,sar -n DEV 1
show historical CPU usage,sar -u -f /var/log/syslog
check if a website is up,"curl -s -o /dev/null -w ""%{http_code}"" https://example.com"
monitor website availability,"while true; do curl -s -o /dev/null -w ""%{http_code}\n"" https://example.com; sleep 60; done"
send a notification when a process finishes,"long_command; notify-send ""Done"""
create a countdown timer,"for i in $(seq 10 -1 1); do echo ""$i""; sleep 1; done; echo ""Done!"""
display a progress bar for a copy operation,rsync -ah --progress source dest
show calendar for a specific month,cal 3 2024
convert epoch timestamp to date,date -d @1609459200
get current epoch timestamp,date +%s
convert date format,"date -d ""2024-01-15"" +""%B %d, %Y"""
calculate days between two dates,"echo $(( ($(date -d ""2024-12-31"" +%s) - $(date -d ""2024-01-01"" +%s)) / 86400 )) days"
show timezone information,timedatectl
set system date and time,"sudo date -s ""2024-01-15 10:30:00"""
display all timezones,timedatectl list-timezones
show git log as a graph,git log --oneline --graph --all
show changes in a specific commit,git show commit_hash
cherry pick a commit,git cherry-pick commit_hash
interactive rebase last 5 commits,git rebase -i HEAD~5
squash last 3 commits,git reset --soft HEAD~3 && git commit
undo the last commit keeping changes,git reset --soft HEAD~1
discard all uncommitted changes,git checkout -- .
show all git remotes with URLs,git remote -v
add a new git remote,git remote add upstream https://github.com/user/repo.git
fetch from all remotes,git fetch --all
create a patch from the last commit,git format-patch -1 HEAD
apply a git patch,git apply patch.patch
show files changed in last commit,git diff-tree --no-commit-id --name-only -r HEAD
find a commit that introduced a bug,git bisect start && git bisect bad && git bisect good commit_hash
show commits by a specific author,"git log --author=""name"""
show commits in a date range,"git log --after=""2024-01-01"" --before=""2024-02-01"""
count commits by each author,git shortlog -sn
show the git configuration,git config --list
set git user name,"git config --global user.name ""Your Name"""
set git user email,"git config --global user.email ""email@example.com"""
clean untracked files,git clean -fd
show all git tags,git tag -l
push all tags to remote,git push --tags
delete a remote branch,git push origin --delete branch_name
rename a branch,git branch -m old_name new_name
show git stash list,git stash list
show the contents of a stash,git stash show -p stash@{0}
drop a specific stash,git stash drop stash@{0}
clear all stashes,git stash clear
create a worktree,git worktree add ../feature-branch feature
list worktrees,git worktree list
archive a branch as zip,git archive --format=zip --output=archive.zip branch_name
show file at a specific commit,git show commit_hash:path/to/file
search commit messages,"git log --grep=""search term"""
show branches containing a commit,git branch --contains commit_hash
set up git hooks directory,git config core.hooksPath .githooks
build and run a docker compose stack,docker compose up -d
stop docker compose services,docker compose down
rebuild docker compose services,docker compose up -d --build
show docker compose logs,docker compose logs -f
scale a docker compose service,docker compose up -d --scale web=3
enter a running docker container shell,docker exec -it container_id bash
copy a file from docker container,docker cp container_id:/path/to/file ./local_path
copy a file to docker container,docker cp ./local_file container_id:/path/to/destination
inspect a docker container,docker inspect container_id
show docker container resource usage,docker stats
remove all unused docker resources,docker system prune -af
show docker disk usage,docker system df
create a docker volume,docker volume create myvolume
list docker volumes,docker volume ls
remove unused docker volumes,docker volume prune -f
create a docker network,docker network create mynetwork
list docker networks,docker network ls
inspect a docker network,docker network inspect mynetwork
tag a docker image,docker tag source_image:tag target_image:tag
push a docker image to registry,docker push registry.example.com/image:tag
pull a docker image,docker pull image:tag
save a docker image to file,docker save -o image.tar image:tag
load a docker image from file,docker load -i image.tar
show docker image history,docker history image:tag
build docker image with no cache,docker build --no-cache -t myimage .
run docker container with environment variables,"docker run -e ""VAR=value"" myimage"
run docker container with volume mount,docker run -v /host/path:/container/path myimage
run docker container with port mapping,docker run -p 8080:80 myimage
run docker container with memory limit,docker run --memory=512m myimage
run docker container with CPU limit,docker run --cpus=0.5 myimage
list Kubernetes pods,kubectl get pods
list Kubernetes services,kubectl get services
list Kubernetes deployments,kubectl get deployments
describe a Kubernetes pod,kubectl describe pod pod_name
show Kubernetes pod logs,kubectl logs pod_name
follow Kubernetes pod logs,kubectl logs -f pod_name
execute command in a Kubernetes pod,kubectl exec -it pod_name -- bash
apply a Kubernetes manifest,kubectl apply -f manifest.yaml
delete a Kubernetes resource,kubectl delete -f manifest.yaml
scale a Kubernetes deployment,kubectl scale deployment deployment_name --replicas=3
show Kubernetes cluster info,kubectl cluster-info
list Kubernetes namespaces,kubectl get namespaces
switch Kubernetes namespace,kubectl config set-context --current --namespace=mynamespace
show Kubernetes events,kubectl get events --sort-by=.metadata.creationTimestamp
port forward to a Kubernetes pod,kubectl port-forward pod_name 8080:80
show Kubernetes node resource usage,kubectl top nodes
show Kubernetes pod resource usage,kubectl top pods
create a Kubernetes secret,kubectl create secret generic mysecret --from-literal=key=value
list Kubernetes secrets,kubectl get secrets
show Kubernetes config maps,kubectl get configmaps
rollout status of a deployment,kubectl rollout status deployment/deployment_name
rollback a Kubernetes deployment,kubectl rollout undo deployment/deployment_name
show rollout history,kubectl rollout history deployment/deployment_name
drain a Kubernetes node,kubectl drain node_name --ignore-daemonsets
cordon a Kubernetes node,kubectl cordon node_name
uncordon a Kubernetes node,kubectl uncordon node_name
show all resources in a namespace,kubectl get all -n namespace
export Kubernetes resource as YAML,kubectl get deployment deployment_name -o yaml
create a Kubernetes job,kubectl create job myjob --image=myimage
list all Kubernetes jobs,kubectl get jobs
delete completed Kubernetes jobs,kubectl delete jobs --field-selector status.successful=1
run a one-off pod,kubectl run debug --image=busybox --rm -it -- sh
copy files to a Kubernetes pod,kubectl cp local_file pod_name:/remote/path
show Kubernetes pod events,kubectl get events --field-selector involvedObject.name=pod_name
check Kubernetes API resources,kubectl api-resources
show Kubernetes resource quotas,kubectl get resourcequota
show Kubernetes persistent volumes,kubectl get pv
show Kubernetes persistent volume claims,kubectl get pvc
list Helm releases,helm list
install a Helm chart,helm install release_name chart_name
upgrade a Helm release,helm upgrade release_name chart_name
uninstall a Helm release,helm uninstall release_name
show Helm release values,helm get values release_name
search for Helm charts,helm search repo chart_name
add a Helm repository,helm repo add repo_name repo_url
update Helm repositories,helm repo update
create Terraform plan,terraform plan
apply Terraform configuration,terraform apply
destroy Terraform resources,terraform destroy
initialize Terraform,terraform init
show Terraform state,terraform state list
import existing resource into Terraform,terraform import resource_type.name resource_id
validate Terraform configuration,terraform validate
format Terraform files,terraform fmt
show Terraform outputs,terraform output
refresh Terraform state,terraform refresh
create Terraform workspace,terraform workspace new workspace_name
list Terraform workspaces,terraform workspace list
switch Terraform workspace,terraform workspace select workspace_name
show Terraform providers,terraform providers
lock Terraform state,terraform force-unlock lock_id
list AWS S3 buckets,aws s3 ls
copy a file to S3,aws s3 cp file.txt s3://bucket/path/
sync a directory to S3,aws s3 sync ./local s3://bucket/path/
list EC2 instances,"aws ec2 describe-instances --query 'Reservations[].Instances[].[InstanceId,State.Name,PublicIpAddress]' --output table"
show AWS account identity,aws sts get-caller-identity
list AWS Lambda functions,aws lambda list-functions
invoke an AWS Lambda function,aws lambda invoke --function-name myfunction output.json
list AWS CloudFormation stacks,aws cloudformation list-stacks
show AWS RDS instances,aws rds describe-db-instances
list GCP compute instances,gcloud compute instances list
SSH into a GCP instance,gcloud compute ssh instance_name
list GCP storage buckets,gsutil ls
copy a file to GCS,gsutil cp file.txt gs://bucket/path/
list Azure VMs,az vm list --output table
show Azure account info,az account show
list Azure resource groups,az group list --output table
create an Azure resource group,az group create --name mygroup --location eastus
convert a string to hex,"echo -n ""hello"" | xxd -p"
convert hex to string,"echo ""68656c6c6f"" | xxd -r -p"
encode a URL,"python3 -c ""import urllib.parse; print(urllib.parse.quote('hello world'))"""
decode a URL,"python3 -c ""import urllib.parse; print(urllib.parse.unquote('hello%20world'))"""
generate a UUID,uuidgen
generate multiple UUIDs,for i in $(seq 1 10); do uuidgen; done
calculate file entropy,ent file.bin
show ASCII table,man ascii
convert decimal to binary,"echo ""obase=2; 255"" | bc"
convert binary to decimal,"echo ""ibase=2; 11111111"" | bc"
benchmark a website with Apache Bench,ab -n 1000 -c 10 https://example.com/
stress test with wrk,wrk -t12 -c400 -d30s https://example.com/
profile a bash script,bash -x script.sh
debug a bash script,bash -xv script.sh
check bash script for errors,shellcheck script.sh
format a bash script,shfmt -w script.sh
lint a Python file,pylint script.py
format Python code with black,black script.py
type check Python code,mypy script.py
run Python tests with pytest,pytest tests/
run Python tests with coverage,pytest --cov=src tests/
generate Python test coverage report,coverage report -m
lint JavaScript code,eslint src/
format JavaScript code with prettier,"prettier --write ""src/**/*.{js,jsx,ts,tsx}"""
run JavaScript tests with jest,jest
lint CSS files,"stylelint ""src/**/*.css"""
lint Docker files,hadolint Dockerfile
lint YAML files,yamllint config.yaml
validate a JSON file,jsonlint file.json
check for outdated npm packages,npm outdated
update all npm packages,npm update
audit npm packages for vulnerabilities,npm audit
fix npm audit vulnerabilities,npm audit fix
check for outdated pip packages,pip list --outdated
upgrade all pip packages,pip list --outdated --format=freeze | grep -v '^\-e' | cut -d = -f 1 | xargs -n1 pip install -U
freeze pip requirements,pip freeze > requirements.txt
install from requirements file,pip install -r requirements.txt
create a Python virtual environment and activate it,python3 -m venv venv && source venv/bin/activate
deactivate Python virtual environment,deactivate
show Python package info,pip show package_name
list installed Python packages,pip list
run a Jupyter notebook from command line,jupyter nbconvert --to notebook --execute notebook.ipynb
convert Jupyter notebook to Python script,jupyter nbconvert --to script notebook.ipynb
start a Jupyter notebook server,jupyter notebook
start JupyterLab,jupyter lab
create a conda environment,conda create -n myenv python=3.9
activate conda environment,conda activate myenv
list conda environments,conda env list
export conda environment,conda env export > environment.yml
create conda environment from file,conda env create -f environment.yml
remove a conda environment,conda env remove -n myenv
search for a package in conda,conda search package_name
update all conda packages,conda update --all
show total lines of code by language,find . -name '*.py' -o -name '*.js' -o -name '*.go' | xargs wc -l | tail -1
count lines of Python code,"find . -name ""*.py"" | xargs wc -l"
count number of functions in a Python file,"grep -c ""def "" script.py"
find TODO comments in code,"grep -rn ""TODO"" --include=""*.py"" ."
find FIXME comments in codebase,"grep -rn ""FIXME"" ."
show git diff statistics,git diff --stat
export git log to CSV,"git log --pretty=format:'%H,%an,%ae,%ad,%s' > git_log.csv"
generate a changelog from git,git log --oneline --no-merges v1.0..HEAD
find merge commits,git log --merges --oneline
show files changed between two branches,git diff --name-only main..feature
count commits on current branch,git rev-list --count HEAD
show the root directory of git repo,git rev-parse --show-toplevel
check if inside a git repository,git rev-parse --is-inside-work-tree
show the current branch name,git rev-parse --abbrev-ref HEAD
list all git aliases,git config --get-regexp alias
create a git alias,git config --global alias.co checkout
remove a git alias,git config --global --unset alias.co
show the size of the git repository,du -sh .git
garbage collect git repository,git gc --aggressive
verify git repository integrity,git fsck
show git reflog,git reflog
recover a deleted branch from reflog,git checkout -b recovered_branch HEAD@{1}
blame a specific line range,"git blame -L 10,20 file.txt"
show word-level diff,git diff --word-diff
create a signed commit,"git commit -S -m ""signed commit"""
verify a signed commit,git verify-commit HEAD
set up git LFS,git lfs install
track large files with git LFS,"git lfs track ""*.psd"""
show git LFS tracked files,git lfs ls-files
show submodule status,git submodule status
update git submodules,git submodule update --init --recursive
add a git submodule,git submodule add https://github.com/user/repo.git path/to/submodule
remove all node_modules directories recursively,"find . -name ""node_modules"" -type d -exec rm -rf {} +"
find all package.json files,"find . -name ""package.json"" -not -path ""*/node_modules/*"""
show all listening services on all interfaces,ss -tlnp
check certificate expiration date,echo | openssl s_client -connect example.com:443 2>/dev/null | openssl x509 -noout -enddate
continuously monitor process count,"watch -n 1 ""ps aux | wc -l"""
show top 10 largest files in a directory tree,find . -type f -exec du -h {} + | sort -rh | head -10
redirect a command's output to clipboard,command | xclip -selection clipboard
paste from clipboard,xclip -selection clipboard -o
show the weather from command line,curl wttr.in
show a cheat sheet for a command,curl cheat.sh/tar
generate a QR code in the terminal,"qrencode -t ANSI ""https://example.com"""
speedtest from command line,speedtest-cli
show network bandwidth usage,nload
show calendar with week numbers,cal -w
create a simple backup script,tar -czf backup_$(date +%Y%m%d).tar.gz /path/to/backup
restore from a backup,tar -xzf backup_20240115.tar.gz -C /restore/path
calculate directory checksum,find . -type f -exec sha256sum {} + | sort -k2 | sha256sum
compare two directories by content,diff <(cd dir1 && find . -type f -exec md5sum {} + | sort) <(cd dir2 && find . -type f -exec md5sum {} + | sort)
monitor a command output and alert on change,"watch -d -n 5 ""command"""
run a command at low I/O priority,ionice -c3 command
show all environment variables sorted,env | sort
find broken symlinks,find . -xtype l -ls
count unique IP addresses in access log,awk '{print $1}' access.log | sort -u | wc -l
show top 10 IP addresses in access log,awk '{print $1}' access.log | sort | uniq -c | sort -rn | head -10
extract URLs from a file,grep -oP 'https?://[^\s]+' file.txt
show HTTP status codes from access log,awk '{print $9}' access.log | sort | uniq -c | sort -rn
analyze response times from access log,"awk '{print $NF}' access.log | sort -n | awk 'BEGIN{c=0} {a[c++]=$1} END{print ""Min:"",a[0],""Max:"",a[c-1],""Median:"",a[int(c/2)]}'"
tail multiple files simultaneously,tail -f file1.log file2.log
interleave lines from two files,paste -d '\n' file1.txt file2.txt
split a file by number of lines,split -l 1000 largefile.txt chunk_
split a file into equal parts,split -n 5 largefile.txt part_
merge sorted files,sort -m sorted1.txt sorted2.txt
remove BOM from a UTF-8 file,sed -i '1s/^\xEF\xBB\xBF//' file.txt
convert line endings from Windows to Unix,dos2unix file.txt
convert line endings from Unix to Windows,unix2dos file.txt
show character frequency in a file,cat file.txt | fold -w1 | sort | uniq -c | sort -rn
find and list all executable files,find . -type f -executable
show files opened by a specific user,lsof -u username
recursively change file extensions,"find . -name ""*.txt"" -exec rename 's/\.txt$/.md/' {} \;"
create a file with a specific size,fallocate -l 1G testfile
generate a file filled with zeros,dd if=/dev/zero of=zeros.bin bs=1M count=100
generate a file filled with random data,dd if=/dev/urandom of=random.bin bs=1M count=100
show running processes as a tree,ps auxf
show only zombie processes,"ps aux | awk '$8==""Z""'"
find memory leaks in a program,valgrind --leak-check=full ./program
profile a program's memory usage,valgrind --tool=massif ./program
show shared libraries used by a process,cat /proc/PID/maps
show a process's environment variables,cat /proc/PID/environ | tr '\0' '\n'
monitor a process's CPU and memory usage,pidstat -p PID 1
trace a process's file operations,strace -e trace=file -p PID
show system call statistics,strace -c command
send desktop notification,"notify-send ""Title"" ""Message body"""
play a system beep,echo -e '\a'
speak text out loud,"espeak ""Hello world"""
take a screenshot from command line,scrot screenshot.png
take a delayed screenshot,scrot -d 5 screenshot.png
record terminal session,script session.log
replay a recorded terminal session,scriptreplay session.log
create an animated GIF from terminal,asciinema rec demo.cast
show a matrix-style animation,cmatrix
display system info with ASCII art,neofetch
show a random fortune,fortune
display a cow saying something,"echo ""Hello"" | cowsay"
show disk usage with a visual bar,ncdu
interactive process viewer,htop
visual git log,tig
interactive JSON viewer,cat data.json | fx
visual diff tool,vimdiff file1.txt file2.txt
interactive disk usage analyzer,baobab
show network connections visually,iftop
show system temperature,watch -n 1 sensors
check if a command is available on the system,"command -v docker &>/dev/null && echo ""installed"" || echo ""not installed"""
add a line to a file only if it does not already exist,grep -qxF 'line to add' file.txt || echo 'line to add' >> file.txt
remove a specific line from a file by line number,sed -i '5d' file.txt
swap two lines in a file,sed -i '3{h;d};4{p;x}' file.txt
replace the nth occurrence of a pattern,sed -i 's/pattern/replacement/3' file.txt
show only the first occurrence of each unique line,awk '!seen[$0]++' file.txt
print every other line of a file,awk 'NR%2==1' file.txt
show the longest line in a file,awk '{ if (length > max) { max = length; line = $0 } } END { print line }' file.txt
show average line length of a file,awk '{ total += length } END { print total/NR }' file.txt
transpose rows and columns in a file,awk '{ for(i=1;i<=NF;i++) a[i]=a[i] FS $i } END { for(i=1;i<=NF;i++) print a[i] }' file.txt
remove trailing whitespace from all lines,sed -i 's/[[:space:]]*$//' file.txt
convert a multi-line file to a single comma-separated line,"paste -sd',' file.txt"
convert a comma-separated line to multiple lines,"tr ',' '\n' < file.txt"
show the intersection of two files,comm -12 <(sort file1.txt) <(sort file2.txt)
show lines only in the first file,comm -23 <(sort file1.txt) <(sort file2.txt)
show lines only in the second file,comm -13 <(sort file1.txt) <(sort file2.txt)
randomly shuffle lines of a file,shuf file.txt
pick a random line from a file,shuf -n 1 file.txt
sample 10 random lines from a file,shuf -n 10 file.txt
generate a random number between 1 and 100,shuf -i 1-100 -n 1
repeat a string N times,printf 'hello\n%.0s' {1..10}
create a horizontal line separator,printf '%*s\n' 80 | tr ' ' '-'
colorize output text in red,"echo -e ""\033[31mRed text\033[0m"""
colorize output text in green,"echo -e ""\033[32mGreen text\033[0m"""
show a spinner while a command runs,"spin=('|' '/' '-' '\'); while kill -0 $PID 2>/dev/null; do for s in ""${spin[@]}""; do printf ""\r$s""; sleep 0.1; done; done"
display a progress percentage,pv largefile.bin > /dev/null
create a named pipe,mkfifo mypipe
write to a named pipe,"echo ""data"" > mypipe"
read from a named pipe,cat mypipe
show file descriptors for current shell,ls -la /proc/$$/fd
redirect file descriptor 3 to a file,exec 3> output.txt
close file descriptor 3,exec 3>&-
use process substitution with tee,"command | tee >(grep ""error"" > errors.log) >(grep ""warn"" > warnings.log)"
wait for all background jobs to finish,wait
wait for a specific background job,wait %1
disown a background process,disown %1
send a process to background,bg %1
suspend the current foreground process,kill -STOP $$
resume a suspended process,kill -CONT PID
print text in multiple columns,pr -3 -t file.txt
format text for printing,fmt -w 60 file.txt
show calendar for next 3 months,cal -3
test network throughput with iperf,iperf3 -c server_ip
start an iperf server,iperf3 -s
show wireless network information,iwconfig
scan for wireless networks,sudo iwlist wlan0 scan
show DHCP lease information,cat /var/lib/dhcp/dhclient.leases
release DHCP lease,sudo dhclient -r
renew DHCP lease,sudo dhclient
show routing table with metrics,ip route show table all
add a default gateway,sudo ip route add default via 192.168.1.1
delete a route,sudo ip route del 10.0.0.0/24
show network statistics,netstat -s
show interface statistics,ip -s link
enable IP forwarding,sudo sysctl -w net.ipv4.ip_forward=1
show kernel parameters,sysctl -a
set a kernel parameter,sudo sysctl -w parameter=value
show loaded kernel modules,lsmod
load a kernel module,sudo modprobe module_name
remove a kernel module,sudo modprobe -r module_name
show module information,modinfo module_name
show interrupt statistics,cat /proc/interrupts
show I/O port allocations,cat /proc/ioports
show DMA channel allocations,cat /proc/dma
show kernel ring buffer,dmesg | tail -50
clear the kernel ring buffer,sudo dmesg -C
show available entropy,cat /proc/sys/kernel/random/entropy_avail
stress test the system,stress --cpu 4 --io 2 --vm 2 --vm-bytes 256M --timeout 60s
benchmark CPU performance,sysbench cpu --cpu-max-prime=20000 run
benchmark memory performance,sysbench memory run
benchmark disk I/O performance,sysbench fileio --file-test-mode=rndrw run
show process priority and nice value,"ps -eo pid,ni,comm"
show all signals available,kill -l
send SIGHUP to a process to reload config,kill -HUP PID
create a coredump of a running process,gcore PID
show thread count per process,"ps -eo pid,nlwp,comm | sort -k2 -rn | head"
show CPU affinity of a process,taskset -p PID
set CPU affinity for a process,"taskset -c 0,1 command"
show NUMA information,numactl --hardware
run a command on a specific NUMA node,numactl --cpunodebind=0 --membind=0 command
